"student_id","cohort","gender","age","state","undergrad_gpa","track","conditional_admit"
"xrfl04rhgy","Spring 2021","Female",28.1,"KS",3.49,"Accelerated",FALSE
"00brico8gt","Spring 2021","Male",43.9,"AK",2.65,"Part Time",FALSE
"92nkvoihvc","Spring 2021","Female",37,"FL",2.69,"Part Time",TRUE
"wu2pfak8i7","Spring 2021","Male",38.2,NA,2.87,"Part Time",TRUE
"8k5yg7j4k6","Spring 2021","Male",24.7,"WV",3.24,"Full Time",FALSE
"4gbs65gr4d","Spring 2021","Male",24.1,"MT",3.64,"Accelerated",FALSE
"uxtgr45m8b","Spring 2021","Male",37.6,"NE",2.74,"Part Time",TRUE
"z0uyang9bz","Spring 2021","Female",31.3,"AR",2.82,"Part Time",TRUE
"b800mu3xrz","Spring 2021","Female",44.9,"OH",2.65,"Part Time",TRUE
"r3tm6r8up0","Spring 2021",NA,39.5,"CT",3.27,"Part Time",FALSE
"dcn5wn86pp","Spring 2021","Male",27.2,"IA",2.98,"Full Time",FALSE
"6lque9mqeh","Spring 2021","Male",24.2,"TN",3.52,"Accelerated",FALSE
"0guz5vin25","Spring 2021","Female",27.2,"SD",3.53,"Accelerated",FALSE
"43qeznp5or","Spring 2021","Female",28.6,"SD",3.54,"Full Time",FALSE
"hxmlkfjnf1","Spring 2021","Female",27.9,"OH",3.36,"Full Time",FALSE
"pg1g1rot89","Spring 2021","Female",28.4,"KS",3.02,"Full Time",FALSE
"u2ghk88u46","Spring 2021","Male",32.2,"OK",3.65,"Part Time",FALSE
"3hqdqjbief","Spring 2021","Female",31.4,"WV",3.14,"Full Time",TRUE
"7paxpmtvfh","Spring 2021","Female",40.2,"CO",2.96,"Part Time",TRUE
"szvqbjlcd4","Spring 2021",NA,23.8,"KS",2.88,"Full Time",FALSE
"5v8oo319l6","Spring 2021",NA,38.7,"NC",3.05,"Part Time",FALSE
"dnh4rpzo4w","Spring 2021","Female",33.9,"MT",3.23,"Full Time",TRUE
"k77jvmv9w4","Spring 2021","Female",27.3,"MN",3.68,"Full Time",FALSE
"iwnykgem0v","Spring 2021","Male",27.3,"NC",3.38,"Full Time",FALSE
"9goywso02x","Spring 2021","Female",27,"MA",3.52,"Full Time",FALSE
"ka03ct4371","Spring 2021","Female",32.1,"HI",3.47,"Part Time",FALSE
"c8qvwknuxu","Spring 2021","Female",30.6,"MA",3.15,"Part Time",TRUE
"b7gisl7r4b","Spring 2021","Male",25,"KS",3.55,"Accelerated",FALSE
"lu815ayn4z","Spring 2021","Female",33.4,"AR",2.98,"Full Time",FALSE
"qxbbtc2mtu","Spring 2021","Male",37.8,"OR",3.62,"Full Time",FALSE
"0wcxj3j7t5","Spring 2021","Male",37.1,"SD",3.43,"Part Time",FALSE
"lfmhaq5474","Spring 2021","Female",26.6,"SC",3.21,"Full Time",FALSE
"0rvu9ijq5x","Spring 2021","Male",42.5,"MS",NA,"Part Time",TRUE
"p05moh5m88","Spring 2021","Male",38.9,"IA",3.36,"Part Time",FALSE
"e46pwgv842","Spring 2021","Male",32.5,"ND",3.05,"Part Time",TRUE
"2v4jyb0ai5","Spring 2021","Male",34.3,"OH",3.31,"Full Time",FALSE
"sjh0nxcwcj","Spring 2021","Female",33.7,"SC",3.55,"Part Time",TRUE
"hxclolodyj","Spring 2021","Female",26.2,"NJ",3.03,"Full Time",FALSE
"w0i9ahocco","Spring 2021","Male",27.6,"NV",3.38,"Full Time",FALSE
"vhlt8rsq5f","Spring 2021","Female",27.1,"OK",3.72,"Full Time",FALSE
"6yzcmgw0fx","Spring 2021","Male",36.4,"MS",2.93,"Full Time",FALSE
"lg3e1680fg","Spring 2021","Female",40.9,"NV",2.74,"Part Time",TRUE
"rrsgbkloon","Spring 2021","Male",20.4,"SC",2.93,"Full Time",FALSE
"96fr7leb2d","Spring 2021",NA,36.7,"OK",2.9,"Full Time",TRUE
"yb4n5qod8q","Spring 2021","Female",32.4,"MO",2.66,"Part Time",FALSE
"0iibn3rkzo","Spring 2021","Male",22.2,"IL",NA,"Accelerated",FALSE
"gsmu6ibs64","Spring 2021","Female",29.5,"FL",3.67,"Accelerated",FALSE
"822t8ojpn8","Spring 2021","Female",25.5,"MT",3.32,"Accelerated",FALSE
"z0poct88g4","Spring 2021","Female",21.9,"AK",3.28,"Accelerated",FALSE
"l9yozpueqt","Spring 2021","Female",28.4,"MO",NA,"Accelerated",FALSE
"1do0q6g1ha","Spring 2021",NA,29.2,"VA",3.74,"Full Time",FALSE
"plwuj9ze9m","Spring 2021","Female",40.4,"ME",NA,"Part Time",TRUE
"y258efhdf7","Spring 2021","Female",41.1,"RI",NA,"Part Time",FALSE
"147x91zbsu","Spring 2021","Female",44.2,"NY",2.52,"Part Time",TRUE
"8mhjyfj95v","Spring 2021",NA,40.8,"UT",3.95,"Full Time",FALSE
"9e928ooovp","Spring 2021","Male",34.3,"MA",NA,"Part Time",FALSE
"4uajozfb43","Spring 2021","Male",29.5,"VA",NA,"Part Time",FALSE
"6p8me2n7y0","Spring 2021","Female",28,"SD",3.41,"Full Time",FALSE
"69mgwvc5xd","Spring 2021","Female",25.1,"SD",3.01,"Full Time",FALSE
"is2lzhtxh6","Spring 2021","Male",20,"AR",3.54,"Accelerated",FALSE
"dl1zn6c9zq","Spring 2021","Male",23.3,"AL",3.8,"Accelerated",FALSE
"fm2mhu3aok","Spring 2021","Male",19.3,"AK",3.14,"Accelerated",FALSE
"23bpli2uvu","Spring 2021","Female",33.3,"OH",3.5,"Full Time",FALSE
"qlowd4p1z2","Spring 2021","Male",28.6,"OR",3.45,"Full Time",FALSE
"44lhqf813d","Spring 2021","Female",25.8,"KY",2.82,"Full Time",FALSE
"cepy5xkpna","Spring 2021","Male",30.8,NA,2.84,"Full Time",FALSE
"7lrvzf9gvy","Spring 2021","Male",33.3,"VA",NA,"Part Time",FALSE
"glup8s85gi","Spring 2021","Male",34,"UT",2.92,"Full Time",FALSE
"7ca2vilcum","Spring 2021","Female",36.3,"MD",3.11,"Full Time",TRUE
"k4dz4xc26s","Spring 2021","Female",31.7,"AK",2.83,"Full Time",TRUE
"6xn3vag24h","Spring 2021","Female",18.8,"ME",3.16,"Accelerated",FALSE
"1yduorzg4k","Spring 2021",NA,35.5,"NY",3.26,"Part Time",FALSE
"2qn5x4pcgb","Spring 2021","Female",28.5,"TX",3.09,"Full Time",FALSE
"mzzvzdf5hh","Spring 2021","Female",36.8,"AL",2.62,"Full Time",FALSE
"06q6zfwooj","Spring 2021","Female",16.6,"NY",3.54,"Full Time",FALSE
"tr4bxo6rel","Spring 2021","Female",20.7,"VT",4.11,"Accelerated",FALSE
"36vmpei94i","Spring 2021","Female",38.3,"CT",3,"Full Time",FALSE
"t6mte59hti","Spring 2021","Male",41.7,"VA",2.97,"Part Time",FALSE
"yb695pbr6f","Spring 2021","Male",42.3,"ID",3.39,"Part Time",FALSE
